scenario,strategy,membership_fee_eur,first_year_subsidy_eur,effective_fee_eur,info_cues_used,consumer_climate_index,savings_rate_percent,inflation_percent,competitor_penalty_percent,adoption_rate,projected_member_households,projected_member_spend_eur,membership_revenue_eur,merchandise_contribution_eur,total_contribution_eur,break_even_monthly_spend_eur,replication_id
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.3404893121439456,0.3028,136260.0,1076718096.204265,2725200.0,21295069.509812012,10087349.509812012,17.04480753699568,4
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.8665648301166775,0.09586666666666667,43140.0,466719795.593987,2804100.0,8275693.421723142,-2853126.5782768577,55.48475788430026,5
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.623516188064321,0.19106666666666666,85980.0,776921293.8656858,3009300.0,14610994.61469075,3687374.614690751,29.876408091546296,5
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.3423711619840832,0.29906666666666665,134580.0,1067517422.8780478,2691600.0,21157898.079772294,9916578.079772294,17.07223319516931,5
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.0885707668036657,0.09253333333333333,41640.0,446228127.49833304,2706600.0,7503173.305125423,-3723146.694874577,55.399950784600605,6
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.0136839441153893,0.1924,86580.0,773037775.8979162,3030300.0,14303916.917286336,3401296.9172863364,29.830742730169558,6
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.6112541852624921,0.32,144000.0,1124261706.3087847,2880000.0,22419666.11907117,11366746.11907117,17.046138702954032,6
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.9575321949331086,0.093,41850.0,448238578.6828345,2720250.0,7535123.426729836,-3677546.5732701644,55.35529764420938,7
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.4544183212617698,0.2096,94320.0,832748508.8289539,3301200.0,15368237.123011574,4736517.123011574,29.80669873149736,7
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.1485998666620403,0.2843333333333333,127950.0,1015982926.8162575,2559000.0,19694282.242387876,8320362.242387876,17.032399275141348,7
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.1410276280266698,0.09886666666666667,44490.0,469697581.19523233,2891850.0,8127104.36107637,-2913965.63892363,55.366840601245514,8
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.7128234419166724,0.20386666666666667,91740.0,809835597.9521096,3210900.0,15231269.3544271,4509249.354427099,29.812914169901433,8
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.45381121287029913,0.3158666666666667,142140.0,1103068665.9018602,2842800.0,21762559.48268737,10672439.482687369,17.03595095422939,8
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.492007862830018,0.09826666666666667,44220.0,475861907.3545605,2874300.0,8289470.648073614,-2769149.3519263864,55.45211070182159,9
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.4841886899348449,0.20073333333333335,90330.0,809105422.1010355,3161550.0,15410434.45830743,4639064.45830743,29.858828839442392,9
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.282113496904343,0.3044,136980.0,1087705172.7098415,2739600.0,21904372.559973046,10711052.559973046,17.062187908252795,9
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.9283439487385925,0.0856,38520.0,417757999.9761321,2503800.0,7419864.559025675,-4009255.440974325,55.34614524333417,10
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.0077739276041564,0.1872,84240.0,755237735.472247,2948400.0,14235694.493888974,3251174.493888974,29.80177051564148,10
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.6492350803569417,0.31533333333333335,141900.0,1107507482.80843,2838000.0,22300026.80381556,11205106.803815559,17.02958315179513,10
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,0.6898537859848249,0.0998,44910.0,480385584.3475443,2919150.0,8265257.904287532,-2748512.095712468,55.43887364764753,11
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.901300266067612,0.1912,86040.0,769157417.9849789,3011400.0,14339306.663083658,3417786.6630836576,29.85170119488713,11
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.404445352837628,0.32193333333333335,144870.0,1126931054.8568182,2897400.0,22237497.408829212,11201977.408829212,17.05811496850693,11
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,3.264416586878902,0.08826666666666666,39720.0,433408665.91325825,2581800.0,7494811.414494485,-3856308.5855055153,55.38158284414872,12
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.0402345140935028,0.19593333333333332,88170.0,799006844.3593129,3085950.0,15258358.358966514,4411388.3589665145,29.820852300695467,12
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.881759524357703,0.2842,127890.0,1027052828.9870167,2557800.0,20537310.220402136,9162190.220402136,17.040487028968837,12
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.2775778945584872,0.09533333333333334,42900.0,462618669.8844471,2788500.0,8034394.555758126,-3110025.444241874,55.29754023559608,13
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.0,0.22006666666666666,99030.0,879124770.909128,3466050.0,16843707.387543067,6376837.387543067,29.775598588397887,13
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.8019082131158703,0.3122,140490.0,1112534405.8376315,2809800.0,22393728.774844453,11270608.774844453,17.014627764798792,13
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.400144954308426,0.09093333333333334,40920.0,440062653.3101148,2659800.0,7551235.19201339,-3721884.8079866096,55.43607229546649,14
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.1040175611614664,0.18853333333333333,84840.0,758213245.7873864,2969400.0,13879231.772819176,2915711.7728191763,29.850192774481958,14
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.7610646632422056,0.3082,138690.0,1085257656.0864472,2773800.0,21158891.974379495,9999771.974379495,17.05725301398969,14
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.435866190111219,0.09006666666666667,40530.0,437164288.895984,2634450.0,7280757.6539172605,-4017712.3460827395,55.33117835803956,15
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.8890593548055443,0.20453333333333334,92040.0,818315804.2331332,3221400.0,15445852.127493009,4734332.127493009,29.79371142355976,15
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.5414201143223736,0.29946666666666666,134760.0,1063284336.4127516,2695200.0,21084642.5832258,9846922.583225802,17.024977956319862,15
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.7013132352618605,0.09146666666666667,41160.0,456306893.73336303,2675400.0,8069395.837627441,-3188124.1623725593,55.43132709873638,16
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.04878316347127279,0.2178,98010.0,880594961.6818699,3430350.0,16913482.77955453,6410912.779554531,29.84763766855036,16
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.4822640910094371,0.321,144450.0,1144257758.302998,2889000.0,22944557.88471529,11900637.884715289,17.055792953457345,16
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.3792354223100993,0.0896,40320.0,432676701.4403763,2620800.0,7458079.20047079,-3854040.7995292097,55.50709013744069,17
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.5093163628494668,0.19293333333333335,86820.0,773190329.9210643,3038700.0,14395074.099686101,3500854.099686101,29.888433150929604,17
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.9135431415764866,0.309,139050.0,1087355171.17082,2781000.0,21812150.239258215,10660230.239258215,17.07910465767406,17
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.1469651089886512,0.09386666666666667,42240.0,441052764.6415369,2745600.0,6799577.17286405,-4387742.82713595,55.203409024102335,18
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.3035244210227583,0.18806666666666666,84630.0,745475895.5252277,2962050.0,12874572.42958656,1903702.4295865595,29.724912551439715,18
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.8591170211658645,0.275,123750.00000000001,974894702.3946395,2475000.0000000005,17940132.354095697,6482212.354095697,16.98566431510841,18
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.8707675689575924,0.08893333333333334,40020.0,436973691.49648273,2601300.0,7488932.070496313,-3842687.9295036867,55.388990105616784,19
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.7350594845673751,0.20526666666666665,92370.0,825205307.164232,3232950.0,15516215.854077905,4816245.854077905,29.824840826101347,19
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.1801403853917591,0.30706666666666665,138180.0,1088198533.8758383,2763600.0,21386087.862764433,10216767.862764433,17.042766186343627,19
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.4991081092899214,0.09546666666666667,42960.0,452309398.1823219,2792400.0,7723896.720522791,-3416623.279477209,55.33300158434713,20
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.238329247873955,0.19446666666666668,87510.0,772785687.7461594,3062850.0,14194113.604740858,3324043.604740858,29.7946931608023,20
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.6218575218575624,0.3132,140940.0,1090923196.3524358,2818800.0,21504973.81622094,10390853.81622094,17.025538949029883,20
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.863540046149805,0.093,41850.0,442579998.26997316,2720250.0,7607504.244162589,-3605165.7558374107,55.433978870603575,21
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.5895779151694447,0.18806666666666666,84630.0,750250979.9556793,2962050.0,13778370.60286896,2807500.6028689593,29.849065545709617,21
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.590235744327419,0.31153333333333333,140190.0,1085589969.0637403,2803800.0,21497911.178960904,10368791.178960904,17.056608883262637,21
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.9292961516733966,0.09506666666666666,42780.0,462470891.9662949,2780700.0,7981351.306553669,-3170868.6934463307,55.36519423288806,22
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.5825284396861587,0.1918,86310.0,777576730.95265,3020850.0,14340598.315658122,3428528.3156581223,29.812027663862803,22
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.220102118398461,0.30506666666666665,137280.0,1079573954.5819595,2745600.0,20914455.49367571,9727135.493675709,17.03544437935017,22
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.9294507686865487,0.09553333333333333,42990.0,459467621.02540034,2794350.0,7648099.341590814,-3490470.6584091857,55.42354002373465,23
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.0719559471900988,0.19853333333333334,89340.0,798208819.7297422,3126900.0,14821422.611645266,4015402.6116452664,29.843444628164814,23
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.514784193005856,0.29286666666666666,131790.0,1044379694.4041262,2635800.0,20481382.0074943,9184262.0074943,17.053396930379893,23
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.3246630360401679,0.10173333333333333,45780.0,494210782.26198065,2975700.0,8392606.965648122,-2564613.034351878,55.21556505941814,24
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.2014186431717595,0.20013333333333333,90060.0,811988374.3087331,3152100.0,14952293.944769397,4171473.9447693974,29.73145810891746,24
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.1429526279156161,0.3028,136260.0,1082557641.8406422,2725200.0,20981655.48078589,9773935.480785891,16.989404633667117,24
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.6108203657501006,0.0956,43020.0,459380230.1636191,2796300.0,7694702.279253744,-3441917.7207462564,55.39401530218961,25
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.458060250641487,0.18333333333333332,82500.0,739535925.8029444,2887500.0,13461985.54691884,2416565.546918839,29.827546701179017,25
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.7416449138906942,0.2948,132660.0,1045393175.6891509,2653200.0,20426763.75354153,9147043.75354153,17.044312400673725,25
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,0.9739605241332361,0.10146666666666666,45660.0,484830484.7667618,2967900.0,8047794.7132117,-2917225.2867882997,55.36608250240451,26
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.1573135241292898,0.19953333333333334,89790.0,801422522.0110601,3142650.0,14877292.888645485,4087022.888645485,29.812505962833196,26
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.6192748416880964,0.2798,125910.0,1004146899.9794407,2518200.0,19598735.83790919,8184015.837909192,17.03571769304754,26
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.4543967831791942,0.0962,43290.0,468737400.4039206,2813850.0,8007130.112053491,-3111939.887946509,55.269940154025136,27
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.4653814666306046,0.1934,87030.0,781477600.091442,3046050.0,14166121.301773086,3279251.301773086,29.76073700601354,27
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.21450801327671018,0.3248666666666667,146190.0,1137237193.4814212,2923800.0,22284340.14090775,11275220.14090775,17.006135432007735,27
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.8567721974388056,0.09206666666666667,41430.0,444259732.6181768,2692950.0,7409997.482159115,-3829972.5178408846,55.33612411860012,28
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.820430609217994,0.19353333333333333,87090.0,774544283.8644804,3048150.0,14336885.911116287,3452115.911116287,29.79637452540007,28
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.568263032350397,0.3142666666666667,141420.0,1103616452.3434522,2828400.0,21719597.1784461,10615077.1784461,17.026499728800037,28
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.155748421858462,0.09886666666666667,44490.0,478771959.26701975,2891850.0,8131549.689944901,-2909520.3100550994,55.41854007873905,29
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,3.324227017876745,0.174,78300.0,710586417.1110609,2740500.0,12745717.500529945,1553297.500529945,29.840752350090256,29
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.6417866837616888,0.3126,140670.0,1104996269.6919324,2813400.0,21880554.879671454,10761034.879671454,17.05185848576586,29
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.6583855511323262,0.09706666666666666,43680.0,467978336.61667204,2839200.0,7795258.950252645,-3298461.0497473553,55.35660869818622,30
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.3281319997845946,0.19853333333333334,89340.0,798827629.4038858,3126900.0,14889397.712680206,4083377.7126802057,29.807404683638733,30
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.0502049348661902,0.31146666666666667,140160.0,1099717582.996958,2803200.0,21570305.04129927,10440585.041299269,17.03280267636499,30
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.07680876131977,0.09673333333333334,43530.0,473916914.547214,2829450.0,8269068.1005246565,-2834401.8994753435,55.49350214374913,31
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.4062577823816331,0.20073333333333335,90330.0,815474316.7372042,3161550.0,15342433.872608274,4571063.872608274,29.88111653894184,31
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.2413121484135596,0.30573333333333336,137580.0,1094073141.558839,2751600.0,21566083.954352424,10384763.954352424,17.074923736538192,31
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.446807687332602,0.0974,43830.0,474253941.21681195,2848950.0,8016770.330901317,-3067199.6690986827,55.3568669114211,32
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.5141455147945748,0.1946,87570.0,790053183.5595161,3064950.0,14778241.83331789,3910271.8333178908,29.80754372153444,32
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.383532519181113,0.29793333333333333,134070.0,1066675920.1192911,2681400.0,21107034.64561023,9855514.645610228,17.032882126591108,32
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.3542434004828543,0.0946,42570.0,461097966.4138598,2767050.0,7871321.118994072,-3294548.881005928,55.378943222609344,33
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.2845489264861315,0.21233333333333335,95550.0,851338745.8062159,3344250.0,15831079.894735351,5242409.894735351,29.81943096602042,33
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.8730460163698035,0.28926666666666667,130170.0,1039680113.2394892,2603400.0,20284251.835117206,8954731.835117206,17.039674837725954,33
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.434184398242277,0.09673333333333334,43530.0,463956740.9155048,2829450.0,7981651.902002819,-3121818.097997181,55.41296042724087,34
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.9348662272844714,0.20086666666666667,90390.0,800925993.9612677,3163650.0,14823785.238913596,4054515.2389135957,29.837747922360464,34
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.5395744975045951,0.3158,142110.0,1106720656.806831,2842200.0,21870887.07096246,10780167.070962459,17.050141669920265,34
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.788249804252597,0.09646666666666667,43410.0,466832200.26357216,2821650.0,8174209.626160063,-2937060.373839937,55.444006942712925,35
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.8610736223442347,0.20126666666666668,90570.0,808653351.1091274,3169950.0,14972574.219301954,4209604.219301954,29.85446527684542,35
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.319903147492763,0.279,125550.00000000001,1004101981.2690288,2511000.0000000005,19595610.35962403,8173690.359624028,17.05969444391167,35
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.1983164333730212,0.1038,46710.0,493937702.2508417,3036150.0,8332616.754863955,-2564153.245136045,55.30036135538077,36
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.6780319172663557,0.21226666666666666,95520.0,845037504.4732103,3343200.0,15697308.321680441,5107588.3216804415,29.777117652897335,36
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.0490890103420951,0.3095333333333333,139290.0,1097827530.7006073,2785800.0,21605881.42155479,10458761.421554789,17.01549580165562,36
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.9073482705653224,0.08833333333333333,39750.0,426382447.5688924,2583750.0,7051468.032779716,-4297701.967220284,55.356026224026,37
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.5958639798212908,0.1864,83880.0,754171278.8166981,2935800.0,13945426.887694344,2948306.887694344,29.807091043706308,37
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.88278895926668,0.3032666666666667,136470.0,1069959854.5714033,2729400.0,21131929.280856952,9928409.280856952,17.03262345354646,37
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.9218563396498363,0.09466666666666666,42600.0,457494643.71485925,2769000.0,7802802.092893384,-3361117.9071066156,55.294274160621434,38
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.13457843301596661,0.21606666666666666,97230.0,859785948.5153422,3403050.0,16464760.832832262,5934890.832832262,29.773839932642314,38
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.5667984330098985,0.3,135000.0,1066215769.5221084,2700000.0,21073412.4138688,9840492.4138688,17.01362281865275,38
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.622619333855148,0.09426666666666667,42420.0,456710534.03433007,2757300.0,7449961.586254634,-3725658.413745366,55.25766051727519,39
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.715931762109419,0.19566666666666666,88050.0,789803492.7373967,3081750.0,14075856.929738209,3224686.9297382087,29.75412489391741,39
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.1811432895152234,0.284,127799.99999999999,1021002434.8853971,2555999.9999999995,19255842.122354,7878922.122354001,17.00235708223852,39
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.0896547343798817,0.09713333333333334,43710.0,468957483.0685404,2841150.0,7801218.451462083,-3290551.5485379174,55.28655414241384,40
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.9412645938229791,0.19713333333333333,88710.0,795515781.402155,3104850.0,14526036.349472225,3697966.3494722247,29.769682999761297,40
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.8418370339604573,0.2966666666666667,133500.0,1062839967.6257571,2670000.0,20600493.20113893,9337573.201138929,17.011247428435027,40
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.0537253054630504,0.09546666666666667,42960.0,459348673.41602594,2792400.0,7580403.3662600145,-3560116.6337399855,55.164988058227635,41
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.7363461965887169,0.20733333333333334,93300.0,824520313.0314244,3265500.0,14886728.656841293,4219308.656841293,29.70422433904565,41
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.1424429298573848,0.308,138600.0,1085613812.0200102,2772000.0,20862714.10196218,9701794.101962179,16.973842479454657,41
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.3453717709858903,0.09093333333333334,40920.0,447928155.9726454,2659800.0,7862420.012087174,-3410699.9879128262,55.34748974898545,42
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.3854486310658765,0.19873333333333335,89430.0,804064946.3736862,3130050.0,15311488.11580655,4508618.11580655,29.802494480222936,42
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.8491545063800456,0.2962666666666667,133320.0,1059024419.1805292,2666400.0,21025596.42382887,9759076.42382887,17.029996845841676,42
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,0.07890014218030969,0.11046666666666667,49710.0,534901618.75862974,3231150.0,9542806.467231989,-1158963.532768011,55.314246383446054,43
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.4911799590297115,0.19866666666666666,89400.0,811501489.7326258,3129000.0,15596000.114985734,4792080.114985734,29.784594206470953,43
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.8895555901813708,0.2915333333333333,131190.0,1054794897.0085357,2623800.0,20935288.77815874,9626168.77815874,17.0197681179834,43
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.854727932070406,0.09446666666666667,42510.0,455166607.39221203,2763150.0,7846835.628041439,-3322934.3719585612,55.450622998128175,44
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.057562557577911164,0.21913333333333335,98610.0,875918719.2493993,3451350.0,16578583.54825586,6097013.548255861,29.858027768222865,44
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.9618265345826291,0.29613333333333336,133260.0,1060381499.1200638,2665200.0,20817877.30804366,9550157.308043659,17.061730153270208,44
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.0955673388450546,0.09113333333333333,41010.0,437563342.7253532,2665650.0,7508260.8424052745,-3759009.1575947255,55.34449615911483,45
